order letter count
1 E 4605.37
2 I 2587.5
3 R 2425.5
4 T 2370.07
5 A 2349.97
6 N 2105.67
7 S 1866.0
8 O 1647.4
9 U 1462.27
10 L 1286.07
11 M 1009.8
12 C 971.67
13 P 814.1
14 D 787.6
15 V 583.57
16 F 457.83
17 B 404.47
18 G 382.33
19 H 320.9
20 Q 185.1
21 J 171.03
22 X 129.83
23 Y 118.7
24 Z 77.1
25 W 41.8
26 K 40.0
