order letter count
1 E 3127.97
2 R 1778.17
3 I 1700.43
4 N 1623.43
5 S 1609.03
6 A 1606.5
7 O 1584.7
8 T 1581.17
9 L 1333.33
10 D 1300.47
11 C 795.6
12 H 693.73
13 G 682.93
14 U 671.5
15 P 639.63
16 M 594.73
17 Y 461.13
18 B 419.93
19 F 387.2
20 W 382.07
21 K 277.93
22 V 260.7
23 X 58.27
24 J 53.4
25 Q 38.47
26 Z 9.83
