order letter count
1 E 4248.6
2 N 2328.8
3 R 1802.8
4 T 1743.17
5 S 1535.73
6 A 1373.63
7 I 1302.3
8 H 1258.13
9 L 1131.07
10 G 1075.97
11 U 1003.2
12 C 793.1
13 O 652.3
14 B 617.73
15 D 609.97
16 M 569.43
17 F 561.1
18 K 447.8
19 W 387.87
20 Z 265.03
21 V 207.97
22 P 166.03
23 J 50.47
24 Y 49.33
25 Q 2.73
26 X 2.17
